gene,n_sequences,alignment_length,conservation_score,sequences_removed
aldA_aligned,8559,1491,0.987065,0
carA_aligned,8593,1134,0.98706,7
tilS_aligned,8596,1389,0.987034,7
sigV_aligned,8578,588,0.986978,7
hmuU_aligned,8596,1012,0.986977,7
rsiV_aligned,8589,903,0.98697,7
feoB_aligned,8581,2154,0.986941,7
argS_aligned,8595,1692,0.986929,0
fpuD_aligned,8596,820,0.986922,7
glxR_aligned,8593,914,0.986915,7
ricR_aligned,8583,261,0.986878,7
thyA_aligned,8423,954,0.986877,7
mgsA_aligned,8594,459,0.986866,6
dppC_aligned,8577,1066,0.986806,7
fmt_aligned,8592,942,0.986753,7
cvfB_aligned,8594,902,0.986722,7
nfo_aligned,8592,894,0.986718,7
parE_aligned,8591,2085,0.986699,7
gmuC_aligned,8333,1409,0.986661,7
rph_aligned,8594,1362,0.986652,7
thiN_aligned,8591,645,0.986554,7
araR_aligned,8594,1082,0.986546,0
ung_aligned,8592,681,0.986541,7
feuC_aligned,8590,1023,0.986536,7
carB_aligned,8590,3369,0.986527,7
pucG_aligned,8582,1293,0.986484,7
ade_aligned,8591,1743,0.986401,0
yheI_aligned,8566,1754,0.986391,7
msrA_aligned,8590,537,0.986388,7
valS_aligned,8594,2643,0.986372,7
dadD_aligned,8380,1215,0.986341,7
modA_aligned,8577,883,0.986336,7
graS_aligned,8574,1027,0.986305,6
MroQ_aligned,8587,673,0.986277,0
ykuT_aligned,8594,966,0.986272,7
lytR_aligned,8592,729,0.986254,7
ypdA_aligned,8568,1770,0.986242,7
folA_aligned,8596,522,0.9862,7
yhhX_aligned,8566,1069,0.986168,7
dagK_aligned,8584,1098,0.986131,7
aqpZ_aligned,8590,763,0.986127,0
modB_aligned,8577,685,0.986117,7
menD_aligned,8593,1746,0.986082,7
priA_aligned,8594,2433,0.986065,7
folB_aligned,8593,363,0.986053,7
recG_aligned,8594,2043,0.986043,7
murE_aligned,8593,1536,0.986035,7
ansA_aligned,8580,1002,0.986031,0
norG_aligned,8594,1452,0.985967,7
dap_aligned,8573,1170,0.985953,7
cycB_aligned,8591,1292,0.985883,7
kup_aligned,8507,2080,0.985869,7
ebgA_aligned,8576,3780,0.985816,7
steT_aligned,8586,1568,0.985809,7
aar_aligned,8528,1191,0.98578,0
pphA_aligned,8557,777,0.985772,7
folK_aligned,8585,487,0.985763,7
rsmA_aligned,8593,925,0.98575,6
cinA_aligned,8590,1275,0.985716,7
codB_aligned,8584,1285,0.985712,7
rodA_aligned,8477,1188,0.985703,7
ylbL_aligned,8593,1074,0.985699,7
dapB_aligned,8593,780,0.985698,7
mdtL_aligned,8497,1216,0.985667,7
spoIIIE_aligned,8596,2463,0.985651,7
yccU_aligned,8596,439,0.985649,7
ssnA_aligned,8571,1342,0.98561,7
fieF_aligned,8596,1170,0.98561,7
ywnA_aligned,8589,483,0.985546,7
sauU_aligned,8513,1479,0.985522,7
recD2_aligned,8483,3244,0.98552,7
yghA_aligned,8578,894,0.985501,7
recN_aligned,8573,1687,0.985494,7
fhs1_aligned,8595,1671,0.985366,7
pbpF_aligned,8591,2187,0.985278,7
buk2_aligned,8498,1114,0.9852,7
oppB_aligned,8574,942,0.985171,7
focA_aligned,8576,793,0.985082,5
coaE_aligned,8595,633,0.98508,7
aroK_aligned,8595,507,0.985066,0
glnP_aligned,8591,747,0.984958,7
gdnD_aligned,8563,354,0.984914,7
garK_aligned,8594,1206,0.984853,7
pdhC_aligned,8230,1384,0.984847,7
ybbW_aligned,8488,1540,0.984826,7
yheH_aligned,8451,1821,0.98481,7
purE_aligned,8585,532,0.984758,7
menC_aligned,8590,1115,0.984681,7
hexR_aligned,8399,969,0.984666,7
sutR_aligned,8567,555,0.984652,7
aes_aligned,8487,1080,0.984637,0
ribZ_aligned,8186,1438,0.984624,7
rapA_aligned,8290,3213,0.984599,7
malP_aligned,8521,2295,0.984585,7
queT_aligned,8211,546,0.984493,4
pucK_aligned,8579,1345,0.984488,7
adaB_aligned,8591,552,0.984456,0
ilvE_aligned,8552,1076,0.984427,7
fliY_aligned,8590,831,0.984394,7
eda_aligned,8589,666,0.984349,7
yccF_aligned,8588,384,0.984338,7
asD_aligned,8526,1637,0.984331,0
yclO_aligned,8589,983,0.98428,7
def1_aligned,8593,496,0.98423,7
nhaK_aligned,8584,2108,0.98421,7
allC_aligned,8498,1227,0.984174,0
purH_aligned,8531,1571,0.983983,7
truB_aligned,8582,922,0.98397,7
msrC_aligned,8594,514,0.983924,7
mutY_aligned,8592,1238,0.983916,7
ssuB_aligned,8578,828,0.983811,7
tsaD_aligned,8595,1047,0.983798,7
lsa(A)_aligned,8534,1497,0.983793,7
mhqR_aligned,8535,432,0.983787,7
rnhC_aligned,8595,924,0.983696,7
pduL_aligned,8588,645,0.983646,7
cca_aligned,8594,1278,0.983628,7
mnaA_aligned,8441,1229,0.983564,7
plsY_aligned,8595,654,0.983492,7
yhaN_aligned,8594,2712,0.983459,7
dppA_aligned,8232,852,0.983414,7
malY_aligned,8532,1227,0.983409,7
ygjK_aligned,8458,2449,0.983402,7
rlmH_aligned,8592,480,0.983381,7
miaA_aligned,8590,930,0.983335,7
acyP_aligned,8595,276,0.983269,0
yceM_aligned,8592,915,0.983208,7
tetA_aligned,8567,1276,0.983168,7
rnmV_aligned,8592,600,0.983164,7
pyrDB_aligned,8580,939,0.983069,7
mscL_aligned,8559,465,0.983053,7
tsaE_aligned,8593,480,0.982967,7
rbsD_aligned,8593,396,0.982936,7
rlmA_aligned,8592,846,0.982892,7
mnmC_aligned,8588,1258,0.98289,7
feuB_aligned,8594,1059,0.982882,7
pheA_aligned,8588,852,0.982778,7
ygfK_aligned,8528,3029,0.98274,7
pstC1_aligned,8595,921,0.982711,7
rlmI_aligned,8584,1175,0.982691,7
fur_aligned,8590,465,0.98268,7
purD_aligned,8574,1269,0.982591,7
mog_aligned,8593,496,0.982495,6
cobB_aligned,8586,715,0.982444,7
allE_aligned,8574,786,0.982429,0
sipT_aligned,8591,537,0.982413,7
exoA_aligned,8589,757,0.982403,7
guaD_aligned,8591,1406,0.982355,7
gltD_aligned,8460,1443,0.982254,7
accB_aligned,8596,495,0.982253,0
rimM_aligned,8595,525,0.982177,7
kimA_aligned,8572,1830,0.982171,7
dus_aligned,8593,975,0.982121,6
bioY2_aligned,8594,549,0.982005,7
purN_aligned,8591,574,0.981884,7
yqgN_aligned,8592,543,0.981835,7
eriC_aligned,8588,1267,0.981832,7
speG_aligned,8232,555,0.981705,7
recO_aligned,8595,819,0.981655,7
bicA_aligned,8571,1327,0.981517,7
lpdG_aligned,8393,1410,0.981094,7
folP_aligned,8490,849,0.980913,7
patB_aligned,8526,1188,0.980838,7
birA_aligned,8587,1008,0.980721,7
algC_aligned,8593,1538,0.980619,0
yvdM_aligned,8584,651,0.980432,7
nnrD_aligned,8566,1047,0.98038,7
yvbK_aligned,8594,466,0.980162,7
ftsY_aligned,8594,1344,0.979486,7
mrdB_aligned,8568,2296,0.979377,5
tenA_aligned,8590,703,0.979334,7
iphP_aligned,8511,772,0.979238,7
moaC_aligned,8578,519,0.979216,7
bceB_aligned,8531,2386,0.978957,0
yfkJ_aligned,8594,515,0.97894,7
sbnD_aligned,8563,1283,0.978782,7
rihA_aligned,8388,1002,0.978755,7
bltD_aligned,8584,454,0.978736,7
trePP_aligned,8592,2733,0.978731,7
maf_aligned,8409,561,0.978582,7
comC_aligned,8504,842,0.978364,7
phoB_aligned,8270,1432,0.978343,7
grdB_aligned,8235,539,0.978039,7
metC_aligned,8471,1147,0.977976,7
pyrDA_aligned,8551,1155,0.977975,7
ydhP_aligned,8590,1366,0.97777,7
ybaK_aligned,8592,516,0.977652,7
ygaZ_aligned,8564,734,0.977523,7
fsaA_aligned,8571,681,0.977492,7
nylA_aligned,8583,1452,0.977422,7
tmung_aligned,8540,655,0.977056,7
gdnC_aligned,8592,337,0.976945,7
mtgA_aligned,8535,2658,0.976476,7
dcuR_aligned,8581,766,0.97605,7
chrR_aligned,8590,556,0.975774,7
pucA_aligned,8488,1009,0.975696,7
pduV_aligned,8590,538,0.97225,7
tmrB_aligned,8581,519,0.971776,7
prsA_aligned,8594,1137,0.97173,7
mapZ_aligned,8590,2659,0.971213,6
rsmG_aligned,8595,904,0.970727,7
adaA_aligned,8446,693,0.969404,0
rihC_aligned,8475,1146,0.969199,7
pbpX_aligned,8588,2235,0.968924,7
rutC_aligned,8473,1336,0.968171,5
acuI_aligned,8257,993,0.967793,0
dcuS_aligned,8580,1558,0.966493,7
yxdM_aligned,8545,1868,0.966159,7
ruvA_aligned,8596,693,0.965652,7
aroD_aligned,8594,801,0.9641,0
dcuD_aligned,8400,1464,0.963116,7
ulaF_aligned,8274,721,0.962931,7
nfrA1_aligned,8557,853,0.962587,7
comFA_aligned,8259,1318,0.962396,7
penA_aligned,8589,2196,0.962277,7
yjaB_aligned,8585,522,0.958715,7
comGA_aligned,8590,1003,0.957905,7
dauA_aligned,8582,1622,0.954147,7
ompR_aligned,8543,913,0.95082,6
tgnB_aligned,8444,1042,0.950132,7
comEA_aligned,8368,743,0.938153,7
rsmD_aligned,8591,774,0.933369,7
comEC_aligned,8559,2249,0.918551,7
glpQ_aligned,8498,951,0.916985,7
murQ_2_aligned,8596,1796,0.908572,7
cspLA_1_aligned,8596,204,0.903634,7
cspLA_2_aligned,8596,201,0.902397,7
celA_2_aligned,8592,383,0.885222,7
spxA_1_aligned,8573,1198,0.885141,7
yfeW_2_aligned,8487,2420,0.883047,7
rex_1_aligned,8596,1235,0.87736,7
dapE_2_aligned,8584,3367,0.874376,7
serS_1_aligned,8580,1405,0.873798,5
serS_2_aligned,8580,1405,0.870476,5
yfeW_1_aligned,8487,1984,0.869749,7
sufS_1_aligned,8529,3034,0.868828,7
tmpC_1_aligned,8594,1136,0.864385,7
pepT_1_aligned,8596,1258,0.862013,7
tmpC_2_aligned,8594,1090,0.858659,7
pepT_2_aligned,8596,1308,0.857673,7
wbgU_2_aligned,8432,1244,0.838533,7
fabZ_1_aligned,8596,493,0.838079,7
yabJ_2_aligned,8512,435,0.834973,7
celA_1_aligned,8592,358,0.833579,7
celA_3_aligned,8465,349,0.830925,7
lacC_2_aligned,8562,1796,0.828366,7
paiA_1_aligned,8532,678,0.827298,7
gap_1_aligned,8350,1024,0.826633,7
wbgU_1_aligned,8432,1162,0.825637,7
ptsG_1_aligned,8595,2367,0.825097,7
gap_2_aligned,8350,1015,0.824078,7
murQ_1_aligned,8596,911,0.823742,7
sdhA_2_aligned,8580,903,0.822604,5
ptsG_2_aligned,8595,2430,0.822511,7
fabZ_2_aligned,8596,477,0.819907,7
sdhA_1_aligned,8580,902,0.819537,5
yabJ_1_aligned,8512,414,0.819306,7
macB_1_aligned,8586,2381,0.817011,7
tyrS1_2_aligned,8423,1281,0.816429,7
fabF_1_aligned,8596,1344,0.815099,7
tyrS1_1_aligned,8423,1286,0.813379,7
ndoA_1_aligned,8589,469,0.812499,7
paiA_2_aligned,8532,626,0.811656,7
lacD_2_aligned,8266,1180,0.811436,7
srrA_1_aligned,8518,873,0.810302,7
uvrA_2_aligned,8586,5195,0.810073,7
lpxG_2_aligned,8434,987,0.809175,7
lacD_1_aligned,8266,1068,0.807727,7
iscS_1_aligned,8596,1229,0.806156,7
ndoA_2_aligned,8589,451,0.80514,7
macB_2_aligned,8586,2326,0.804765,7
fabF_2_aligned,8596,1347,0.803285,7
pstB3_2_aligned,8595,811,0.801599,7
clsA_1_aligned,8404,1643,0.801529,7
pstB3_1_aligned,8595,810,0.801347,7
truA_1_aligned,8589,898,0.801239,7
murR_2_aligned,8397,1435,0.800882,7
clsA_2_aligned,8404,1652,0.800088,7
iscS_2_aligned,8596,1193,0.797565,7
pstS1_2_aligned,8595,903,0.796968,7
pstS1_1_aligned,8595,903,0.79638,7
rlmCD_2_aligned,8557,1421,0.793729,7
lplJ_2_aligned,8452,1124,0.793129,7
yqfL_1_aligned,8595,941,0.793022,7
rlmCD_1_aligned,8557,1413,0.792987,7
QRSL1_1_aligned,8420,4342,0.792315,0
lplJ_1_aligned,8452,1117,0.792099,7
QRSL1_2_aligned,8420,4385,0.790287,0
lpxG_1_aligned,8434,900,0.789029,7
ntpJ_1_aligned,8593,1624,0.787639,7
msmX_1_aligned,8557,1360,0.787334,7
levE_1_aligned,8463,644,0.785188,7
proC_1_aligned,8596,828,0.78434,7
nhaC_1_aligned,8434,1530,0.783984,7
proC_2_aligned,8596,855,0.781168,7
nhaC_2_aligned,8434,1458,0.779687,7
cysL_2_aligned,8423,911,0.778381,7
cysL_1_aligned,8423,908,0.778219,7
yodC_2_aligned,8444,809,0.776415,7
oppD_2_aligned,8589,1125,0.775295,7
hcxA_2_aligned,8594,1322,0.774722,7
ltaS1_1_aligned,8173,2405,0.774482,5
murA1_1_aligned,8596,1397,0.773947,7
oppD_1_aligned,8589,1112,0.773709,7
oppF_2_aligned,8586,1134,0.773694,7
hcxA_1_aligned,8594,1321,0.773569,7
scmP_1_aligned,8576,1414,0.772827,7
adhE_2_aligned,8596,2664,0.772109,0
yqfL_2_aligned,8595,870,0.771378,7
panE_2_aligned,8481,1045,0.771161,7
mntH_2_aligned,8595,1670,0.770822,7
menH_1_aligned,8596,1180,0.770147,7
mntH_1_aligned,8595,1648,0.769233,7
rex_2_aligned,8596,668,0.769064,7
ltaS1_2_aligned,8173,2332,0.768618,5
murR_1_aligned,8397,1312,0.768379,7
ntpJ_2_aligned,8593,1485,0.768166,7
purK_2_aligned,8590,1158,0.767935,7
oppF_1_aligned,8586,1071,0.767496,7
purK_1_aligned,8590,1156,0.766659,7
gmk_1_aligned,8595,776,0.765706,7
mtlF_1_aligned,8596,439,0.765544,7
metP_2_aligned,8594,709,0.76478,7
atzC_2_aligned,8589,1533,0.763795,0
mtlF_2_aligned,8596,438,0.763729,7
murA1_2_aligned,8596,1345,0.763616,7
bglC_1_aligned,8579,1589,0.763509,7
truA_2_aligned,8589,779,0.763431,7
licT_1_aligned,8334,1100,0.762298,7
srrA_2_aligned,8518,833,0.762005,7
bglC_2_aligned,8579,1561,0.761923,7
zosA_2_aligned,8451,2186,0.760342,7
tag_1_aligned,8591,697,0.760169,7
lacC_1_aligned,8562,1170,0.759795,7
emrB_1_aligned,8300,1584,0.759582,7
metP_1_aligned,8594,694,0.758932,7
bglH_1_aligned,8593,1702,0.757362,7
ctpE_2_aligned,8596,2597,0.757324,7
ldh_1_aligned,8442,1007,0.756132,7
pta_2_aligned,8514,1096,0.755816,7
ytcD_1_aligned,8378,393,0.755799,7
emrB_2_aligned,8300,1610,0.75539,7
ctpE_1_aligned,8596,2554,0.755324,7
yteP_1_aligned,8570,1120,0.753661,7
pdxK_1_aligned,8596,873,0.753369,7
zosA_1_aligned,8451,2142,0.752797,7
ecfT_1_aligned,8596,1276,0.752436,7
msmX_2_aligned,8557,1171,0.752415,7
menH_2_aligned,8596,1195,0.752224,7
pta_1_aligned,8514,1095,0.751941,7
phoP_2_aligned,8596,788,0.751937,7
ldh_2_aligned,8442,1046,0.750898,7
rpmGA_1_aligned,8594,163,0.75088,7
atzC_1_aligned,8589,1544,0.750144,0
npr_1_aligned,8584,1681,0.750122,7
bglA_2_aligned,8596,1568,0.74935,7
yfnB_2_aligned,8585,828,0.749323,7
tag_2_aligned,8591,662,0.749149,7
ytcD_2_aligned,8378,389,0.749037,7
rsuA_1_aligned,8510,794,0.748261,7
pdxK_2_aligned,8596,871,0.747857,7
levE_2_aligned,8463,567,0.746352,7
phoP_1_aligned,8596,805,0.745738,7
yodC_1_aligned,8444,781,0.745466,7
panE_1_aligned,8481,945,0.745166,7
mshD_1_aligned,8530,1041,0.744758,7
degV_1_aligned,8536,1086,0.743314,7
ybiT_1_aligned,8593,2072,0.743197,7
dapE_1_aligned,8584,1539,0.742323,7
yfnB_1_aligned,8585,847,0.742117,7
rsuA_2_aligned,8510,807,0.741988,7
gspA_1_aligned,8539,998,0.741921,7
mprF_1_aligned,8502,2901,0.741427,7
ftsW_2_aligned,8594,1295,0.741087,7
scmP_2_aligned,8576,1284,0.740286,7
menA_1_aligned,8569,961,0.739884,7
gmk_2_aligned,8595,671,0.738964,7
ftsW_1_aligned,8594,1277,0.738847,7
spxA_2_aligned,8573,518,0.738806,7
rhaS_3_aligned,8374,1927,0.738113,7
mprF_2_aligned,8502,2933,0.737675,7
yknY_1_aligned,8596,907,0.73741,7
menA_2_aligned,8569,973,0.737274,7
gph_3_aligned,8463,1846,0.736699,7
yteP_2_aligned,8570,1032,0.735818,7
eis_2_aligned,8595,1316,0.735374,7
nagB_2_aligned,8427,808,0.734929,7
ccpA_3_aligned,8411,1456,0.734687,7
eis_1_aligned,8595,1329,0.732929,7
galK_1_aligned,8593,1203,0.731755,7
glcU_1_aligned,8593,932,0.731234,7
opuCA_2_aligned,8352,1209,0.731068,7
ydcV_1_aligned,8594,868,0.730018,7
licT_2_aligned,8334,989,0.729848,7
opuCA_1_aligned,8352,1209,0.729507,7
npr_2_aligned,8584,1511,0.728892,7
glcU_2_aligned,8593,913,0.726736,7
galK_2_aligned,8593,1237,0.726273,7
xerC_2_aligned,8569,5223,0.725872,7
rpmGA_2_aligned,8594,150,0.725464,7
pspA_1_aligned,8537,799,0.725299,7
apbE_1_aligned,8538,1086,0.724946,0
degV_2_aligned,8536,1010,0.724876,7
nagB_1_aligned,8427,789,0.724678,7
pepV_1_aligned,8586,1476,0.724536,7
gadC_2_aligned,8404,1698,0.724013,7
pepV_2_aligned,8586,1463,0.723979,7
metN_2_aligned,8579,1091,0.723802,7
ecfT_2_aligned,8596,1123,0.723644,7
ydcV_2_aligned,8594,883,0.72217,7
apbE_2_aligned,8538,1075,0.721733,0
ysdC_1_aligned,8595,1172,0.721463,7
recQ_1_aligned,8589,1928,0.721442,7
metN_1_aligned,8579,1089,0.720035,7
recQ_2_aligned,8589,1934,0.71936,7
gspA_2_aligned,8539,936,0.719161,7
gadC_1_aligned,8404,1654,0.718798,7
yidA_2_aligned,8584,962,0.716913,7
mshD_2_aligned,8530,1106,0.715677,7
ybiT_2_aligned,8593,1943,0.715357,7
tadA_2_aligned,8588,623,0.714884,7
bglA_1_aligned,8596,1652,0.713656,0
bglH_2_aligned,8593,1684,0.713415,7
yidA_1_aligned,8584,956,0.713012,7
dinG_1_aligned,8596,3629,0.709068,7
galT_1_aligned,8592,1524,0.708929,7
pspA_2_aligned,8537,675,0.7084,7
galT_2_aligned,8592,1530,0.708071,7
ulaA_1_aligned,8280,1626,0.707725,7
ysdC_2_aligned,8595,1178,0.706768,7
murJ_2_aligned,8596,2298,0.705855,7
bdhA_1_aligned,8376,1455,0.70541,0
dapH_1_aligned,8595,1253,0.704924,7
ulaA_2_aligned,8280,1615,0.704788,7
murJ_1_aligned,8596,2254,0.703287,7
tadA_1_aligned,8588,609,0.702438,7
arcC1_4_aligned,8542,1067,0.701893,0
sapB_1_aligned,8578,810,0.701071,7
bdhA_2_aligned,8376,1451,0.700464,0
cynR_2_aligned,8595,1263,0.700012,7
arcC1_1_aligned,8596,992,0.699174,0
xerC_1_aligned,8569,4459,0.695492,7
dinG_2_aligned,8596,3696,0.692822,7
rhaS_1_aligned,8595,1733,0.692329,7
sufS_2_aligned,8529,1333,0.691498,7
dapH_2_aligned,8595,1298,0.688787,7
adhE_3_aligned,8583,2645,0.687641,0
rhaS_2_aligned,8595,1818,0.687316,7
gyrB_1_aligned,8552,2339,0.685285,7
uvrA_1_aligned,8586,3010,0.683819,7
rhaR_3_aligned,8530,3107,0.683598,7
arcC1_3_aligned,8596,1086,0.683243,0
sapB_2_aligned,8578,796,0.679641,7
mutS2_2_aligned,8588,2483,0.676428,7
yknY_2_aligned,8596,778,0.671019,7
btuD_3_aligned,8596,5545,0.670371,7
dinB_1_aligned,8589,1963,0.669956,7
coaBC_2_aligned,8596,818,0.656982,7
coaBC_1_aligned,8596,818,0.656797,7
nagR_1_aligned,8595,1067,0.656397,7
dinB_2_aligned,8589,1899,0.656225,7
mutS2_1_aligned,8588,2511,0.656101,7
metQ_2_aligned,8596,1041,0.654866,7
araQ_2_aligned,8569,1177,0.654467,0
nagR_2_aligned,8595,929,0.653063,7
araQ_1_aligned,8569,1092,0.652795,0
metQ_3_aligned,8593,929,0.652635,7
arcC1_2_aligned,8596,999,0.649413,0
glmS_1_aligned,8269,1898,0.647908,7
glmS_2_aligned,8269,1909,0.647831,7
uvrC_2_aligned,8594,1835,0.64066,7
glcR_2_aligned,8279,921,0.639436,7
uvrC_1_aligned,8594,1829,0.639051,7
btuD_6_aligned,8588,5067,0.637637,7
cynR_3_aligned,8325,1341,0.636215,7
glnQ_1_aligned,8596,811,0.635075,7
metQ_1_aligned,8596,898,0.634748,7
bglF_4_aligned,8559,2412,0.633623,7
rcsC_2_aligned,8596,2312,0.630941,7
rcsC_1_aligned,8596,2195,0.629987,7
fruA_2_aligned,8595,2071,0.629104,7
rcsC_3_aligned,8555,2091,0.627707,7
degA_1_aligned,8577,1247,0.627571,7
fruA_1_aligned,8595,2260,0.627441,7
gyrB_2_aligned,8552,2029,0.626676,7
degA_2_aligned,8577,1270,0.626624,7
argR_1_aligned,8596,532,0.626521,0
nagR_3_aligned,8531,957,0.626503,7
atpE_1_aligned,8595,591,0.620505,0
glcR_1_aligned,8279,884,0.620369,7
ccpA_2_aligned,8596,1365,0.620054,7
glnQ_3_aligned,8595,795,0.618869,7
atpE_2_aligned,8595,585,0.618342,0
ccpA_1_aligned,8596,1282,0.616499,7
ykoD_1_aligned,8594,2005,0.614225,7
pucR_1_aligned,8596,2072,0.609888,7
btuD_2_aligned,8596,4304,0.608418,7
agaC_1_aligned,8508,993,0.607559,0
mhqA_1_aligned,8596,1067,0.60679,7
cynR_1_aligned,8595,1327,0.603792,7
glnQ_2_aligned,8596,814,0.602387,7
mltF_3_aligned,8586,2343,0.601943,7
ykoD_2_aligned,8594,1979,0.601438,7
btuD_1_aligned,8596,4703,0.598262,7
mltF_1_aligned,8596,2355,0.59803,7
gph_1_aligned,8596,1020,0.597305,7
mhqA_4_aligned,8542,1163,0.595638,7
argR_3_aligned,8581,546,0.595327,0
bglF_2_aligned,8596,2504,0.594259,7
mltF_2_aligned,8596,2351,0.593915,7
sorB_2_aligned,8584,587,0.582926,7
manX_1_aligned,8596,1326,0.581091,7
argR_4_aligned,8579,548,0.57789,0
pucR_2_aligned,8596,2130,0.575959,7
tagU_2_aligned,8596,2140,0.575825,7
pnp_2_aligned,8596,2127,0.572609,7
btuD_7_aligned,8220,4288,0.572102,7
pnp_1_aligned,8596,2127,0.571173,7
adhE_1_aligned,8596,2658,0.56635,0
manZ_2_aligned,8596,1374,0.563051,7
argR_2_aligned,8596,550,0.56182,0
rhaR_1_aligned,8596,2184,0.560844,7
pucR_3_aligned,8561,2000,0.56069,7
gph_2_aligned,8596,1104,0.557577,7
bglF_3_aligned,8596,2532,0.554595,7
tagU_5_aligned,8542,2097,0.553407,7
tagU_3_aligned,8596,2022,0.550704,7
ybbH_4_aligned,8589,1345,0.548496,7
gpmA_1_aligned,8596,1006,0.548119,7
manZ_1_aligned,8596,1217,0.545747,7
polC_1_aligned,8584,4459,0.543457,7
bglF_1_aligned,8596,2516,0.542902,7
mhqA_3_aligned,8596,1106,0.53741,7
rhaR_2_aligned,8596,1947,0.53717,7
gpmA_3_aligned,8575,982,0.536829,7
manX_4_aligned,8578,1336,0.534063,7
manZ_5_aligned,8596,1419,0.533333,7
tagU_4_aligned,8595,2173,0.533083,7
dgaR_1_aligned,8596,3678,0.532867,7
polC_2_aligned,8584,4359,0.53279,7
manZ_3_aligned,8596,1296,0.532173,7
btuD_4_aligned,8596,3850,0.528844,7
tagU_1_aligned,8596,2002,0.528338,7
sorA_2_aligned,8596,1054,0.528123,7
licC_2_aligned,8596,1779,0.52695,7
agaC_3_aligned,8309,1005,0.525655,0
mhqA_2_aligned,8596,1095,0.524669,7
manX_3_aligned,8596,1306,0.522798,7
agaC_2_aligned,8508,1007,0.522166,0
manZ_7_aligned,8576,1343,0.521771,7
licC_3_aligned,8596,1765,0.520169,7
btuD_5_aligned,8596,3804,0.518656,7
manZ_4_aligned,8596,1322,0.517794,7
licC_1_aligned,8596,1702,0.513181,7
gpmA_2_aligned,8596,953,0.511213,7
sorB_1_aligned,8584,563,0.509409,7
ybbH_2_aligned,8596,1152,0.507237,7
ybbH_1_aligned,8596,1127,0.503531,7
sorA_1_aligned,8596,943,0.49788,7
manZ_8_aligned,8470,1269,0.48989,7
manZ_6_aligned,8596,1303,0.489189,7
sorA_3_aligned,8503,928,0.48784,7
licC_5_aligned,8566,1711,0.482248,7
dgaR_4_aligned,8448,3475,0.474109,7
dgaR_3_aligned,8596,3534,0.472454,7
licC_4_aligned,8595,1727,0.471491,7
dppE_3_aligned,8596,1908,0.464877,7
dppE_7_aligned,8596,1806,0.461511,7
dgaR_2_aligned,8596,3472,0.460661,7
dppE_8_aligned,8563,1788,0.458117,7
dppE_1_aligned,8596,1936,0.457844,7
manX_2_aligned,8596,1255,0.4536,7
ybbH_3_aligned,8596,1146,0.436212,7
dppE_6_aligned,8596,1826,0.423981,7
dppE_2_aligned,8596,1822,0.4167,7
dppE_5_aligned,8596,1885,0.414882,7
dppE_4_aligned,8596,1849,0.409218,7
